Open,Symbol,Position ID,Type,Volume,Price,S/L,T/P,Close,Close Price,P/L,Change
"
Jan 17, 2025 @ 09:31:13",US30,7277816997840478975,Sell,0.01,43459.36,43506.36,43416.36,"Jan 17, 2025 @ 09:48:08",43530.36,-$71.00,-0.16%
"
Jan 16, 2025 @ 09:36:48",US30,7277816997840454642,Sell,0.01,43294.36,43320.8,43137.58,"Jan 16, 2025 @ 09:37:56",43268.36,$26.00,0.06%
"
Jan 15, 2025 @ 15:55:23",US30,7277816997840439149,Sell,0.01,43274.36,n/a,n/a,"Jan 15, 2025 @ 16:09:56",43282.36,-$8.00,-0.02%
"
Jan 15, 2025 @ 10:42:34",US30,7277816997840432350,Sell,0.01,43221.36,43250.36,43130.36,"Jan 15, 2025 @ 10:49:45",43164.37,$56.99,0.13%
"
Jan 15, 2025 @ 10:40:40",US30,7277816997840432266,Sell,0.01,43188.36,43218.49,43128.77,"Jan 15, 2025 @ 10:42:01",43221.36,-$33.00,-0.08%
"
Jan 15, 2025 @ 09:30:06",US30,7277816997840427796,Sell,0.01,43187.36,43228.42,43148.42,"Jan 15, 2025 @ 09:30:52",43145.37,$41.99,0.10%
"
Jan 14, 2025 @ 15:45:08",US30,7277816997840414814,Buy,0.01,42426.38,n/a,n/a,"Jan 14, 2025 @ 15:50:29",42489.38,$63.00,0.15%
"
Jan 14, 2025 @ 15:27:58",US30,7277816997840414614,Sell,0.01,42404.38,42455.18,42243.45,"Jan 14, 2025 @ 15:44:49",42426.38,-$22.00,-0.05%
"
Jan 14, 2025 @ 15:26:14",US30,7277816997840414598,Buy,0.01,42414.38,42386.22,42512.6,"Jan 14, 2025 @ 15:39:54",42393.38,-$21.00,-0.05%
"
Jan 14, 2025 @ 09:45:07",US30,7277816997840403799,Buy,0.01,42516.37,42476.37,42596.37,"Jan 14, 2025 @ 09:47:01",42472.38,-$43.99,-0.10%
"
Jan 14, 2025 @ 09:34:35",US30,7277816997840402993,Sell,0.01,42487.38,42528.74,42408.74,"Jan 14, 2025 @ 09:41:52",42483.38,$4.00,0.01%
"
Jan 14, 2025 @ 09:31:41",US30,7277816997840402726,Buy,0.01,42482.38,42442.38,42522.38,"Jan 14, 2025 @ 09:32:18",42440.38,-$42.00,-0.10%
"
Jan 13, 2025 @ 09:32:59",US30,7277816997840377549,Buy,0.01,41943.38,41904.38,41984.38,"Jan 13, 2025 @ 09:34:10",41978.38,$35.00,0.08%
"
Jan 8, 2025 @ 09:31:09",US30,7277816997840304073,Sell,0.01,42516.37,n/a,n/a,"Jan 8, 2025 @ 09:31:48",42495.38,$17.49,0.05%
"
Jan 7, 2025 @ 10:01:44",US30,7277816997840279879,Sell,0.01,42773.37,42807.53,42740.21,"Jan 7, 2025 @ 10:03:15",42767.37,$6.00,0.01%
"
Jan 6, 2025 @ 09:30:19",US30,7277816997840253331,Buy,0.01,42918.87,42885.21,42952.53,"Jan 6, 2025 @ 09:35:29",42885.21,-$34.50,-0.08%
"
Jan 3, 2025 @ 09:35:37",US30,7277816997840223518,Buy,0.01,42658.37,42556.8,42759.17,"Jan 3, 2025 @ 09:40:14",42727.37,$67.50,0.16%
